Зеленский предложил России провести мирные переговоры в Казахстане. Почему Киев выбрал именно Астану?,17:48,2025-09-24,https://lenta.ru/news/2025/09/24/kiev-astana/
Обстрел нового российского «Оберега» из иностранных винтовок попал на видео,18:07,2025-09-24,https://lenta.ru/news/2025/09/24/obstrel-novogo-rossiyskogo-oberega-iz-inostrannyh-vintovok-popal-na-video/
Эвакуация россиян из поезда в курортный регион попала на видео,18:07,2025-09-24,https://lenta.ru/news/2025/09/24/evakuatsiya-rossiyan-iz-poezda-v-kurortnyy-region-popala-na-video/
Тренер группы Тутберидзе прокомментировал недопуск к отбору на Олимпиаду,18:02,2025-09-24,https://lenta.ru/news/2025/09/24/trener-gruppy-tutberidze-prokommentiroval-svoy-nedopusk-k-otboru-na-olimpiadu/
Российские срочники обвинили сослуживцев в избиении и сняли последствия на видео,17:57,2025-09-24,https://lenta.ru/news/2025/09/24/tuvinci-dedovshchina/
Официальный курс доллара вырос,17:57,2025-09-24,https://lenta.ru/news/2025/09/24/ofitsialnyy-kurs-dollara-vyros/
"Путин поднял зарплаты генпрокурору, главе Следственного комитета и судьям",17:55,2025-09-24,https://lenta.ru/news/2025/09/24/putin-podnyal-zarplaty-genprokuroru-glave-sledstvennogo-komiteta-i-sudyam/
Страна НАТО раскрыла готовность военных гарантий безопасности Украине,17:55,2025-09-24,https://lenta.ru/news/2025/09/24/strana-nato-raskryla-gotovnost-voennyh-garantiy-bezopasnosti-ukraine/
Более тысячи семей собрались лишить домов под Петербургом,17:51,2025-09-24,https://lenta.ru/news/2025/09/24/bolee-tysyachi-semey-sobralis-lishit-domov-pod-peterburgom/
Токаев назвал препятствие к миру между Россией и Украиной,17:48,2025-09-24,https://lenta.ru/news/2025/09/24/tokaev-nazval-prepyatstvie-k-miru-mezhdu-rossiey-i-ukrainoy/
Xiaomi представила смартфон с самым большим экраном,17:46,2025-09-24,https://lenta.ru/news/2025/09/24/bigger/
На Украине назвали атаку на Крым сознательным преступлением,17:46,2025-09-24,https://lenta.ru/news/2025/09/24/na-ukraine-nazvali-ataku-na-krym-soznatelnym-prestupleniem/
SHAMAN рассказал об отношениях с Мизулиной,17:45,2025-09-24,https://lenta.ru/news/2025/09/24/shaman-rasskazal-ob-otnosheniyah-s-mizulinoy/
Взрыв дрона ВСУ стоимостью 23 миллиона рублей у берегов Новороссийска сняли на видео,17:44,2025-09-24,https://lenta.ru/news/2025/09/24/vzryv-drona-vsu-stoimostyu-23-milliona-rubley-u-beregov-novorossiyska-snyali-na-video/
В России зафиксировали первый случай столкновения самолета с беспилотником,16:41,2025-09-24,https://lenta.ru/news/2025/09/24/v-rossii-zafiksirovali-pervyy-sluchay-stolknoveniya-samoleta-s-bespilotnikom/
В России предрекли ответ за атаку ВСУ на офис Каспийского трубопроводного консорциума,18:09,2025-09-24,https://lenta.ru/news/2025/09/24/v-rossii-predrekli-otvet-za-ataku-vsu-na-ofis-kaspiyskogo-truboprovodnogo-konsortsiuma/
В Венгрии ответили на призывы отказаться от нефти из России,18:09,2025-09-24,https://lenta.ru/news/2025/09/24/v-vengrii-otvetili-na-prizyvy-otkazatsya-ot-nefti-iz-rossii/
